index	nameMatchValidation	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
23		148	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	pending	
24		103	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	published	
25		119	harmonia	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae				Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	Asia	yes		yes					1990					no	published	
26		32	harmonia	Ailanthus altissima	Ailanthus glandulosa					Simaroubaceae				Tree of heaven	Hemelboom	Faux-vernis du japon	spread		a2	12	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1952					no	published	
27		18	harmonia	Aix galericulata						Anatidae				Mandarin duck	Mandarijneend	Canard mandarin	spread		c	8	widespread		pets and domestic animals		freshwater	Asia	yes	yes	yes					1953					no	published	
28		33	harmonia	Aix sponsa						Anatidae				Wood duck	Carolina-eend	Canard carolin	naturalization		c	1	isolated				freshwater	North America	yes	yes	no					1957					no	pending	
29		121	harmonia	Akebia quinata						Lardizabalaceae				Five-leaf	Klimbes, Schijnaugurk	Akébie à cinq feuilles			b0	10			agri- and horticulture		terrestrial	Asia	no												no	published	
30		19	harmonia	Alopochen aegyptiacus						Anatidae				Egyptian goose	Nijlgans	Ouette d'egypte	spread		a3	12	widespread		pets and domestic animals		freshwater	Africa	yes	yes	yes					1984					no	published	
31		34	harmonia	Ambrosia artemisiifolia	Ambrosia elatior					Asteraceae				Ragweed	Alsemambrosia	Ambroisie annuelle			c	8			accidental		terrestrial	North America	no												no	published	
32		1	harmonia	Ameiurus nebulosus	Ictalurus nebulosus					Ictaluridae				Brown bullhead	Bruine amerikaanse dwergmeerval	Poisson-chat américain	regression		b2	10	restricted		aqua- and mariculture		freshwater	North America	yes	yes	yes					1871					no	published	
33		35	harmonia	Amelanchier lamarckii	Amelanchier canadensis					Malaceae				Juneberry	Amerikaans krentenboompje	Amélanchier d'amérique	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1876					no	published	
34		20	harmonia	Anser indicus						Anatidae				Bar-headed goose	Indische gans	Oie à tête barrée	naturalization		b1	9	isolated		pets and domestic animals		freshwater	Asia	yes	yes	no					1966					no	published	
35		36	harmonia	Aspius aspius						Cyprinidae				Asp	Roofblei	Aspe	spread		b1	1	isolated		accidental		freshwater	Europe	yes	yes	yes					1990					no	pending	
36		38	harmonia	Aster americ.	A. lanceolatus, A. novi-belgii & A. salignus					Asteraceae				North American asters	Amerikaanse asters	Asters nord-américains	spread		a3	12	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1830					no	draft	
37		105	harmonia	Aster divaricatus	Eurybia divaricata									White wood aster					c	3	isolated		agri- and horticulture		terrestrial	North America	yes		yes					1946					no	pending	
38		104	harmonia	Aster laevis						Asteraceae				Smooth aster	Gladde aster	Aster lisse			c	3	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1939					no	pending	
39		137	harmonia	Aster lanceolatus						Asteraceae				Narrow-leaved michaelmas daisy	Smalle aster	Aster lancéolé	spread		a2	11	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1835					no	published	
40		143	harmonia	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1865					no	pending	
41		135	harmonia	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread		b3	9	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1865					no	published	
42		138	harmonia	Aster x salignus	A. lanceolatus x novi-belgii					Asteraceae				Common michaelmas daisy	Wilgaster	Aster à feuilles de saule	spread		a2	11	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1861					no	published	
43		40	harmonia	Azolla filiculoides	Azolla caroliniana					Azollaceae				Water fern	Grote kroosvaren	Azolla	spread		b2	9	restricted		aquariums and ponds		freshwater	North America, South America	yes	yes	yes					1912					no	published	
44		41	harmonia	Baccharis halimifolia						Asteraceae				Eastern baccharis	Struikaster	Séneçon en arbre	spread		a1	12	isolated		agri- and horticulture		terrestrial	North America	yes	yes	no					1924					no	published	
45		42	harmonia	Bidens frondosa						Asteraceae				Large-leaved beggarticks	Zwart tandzaad	Bident à fruits noirs	stabilization		b3	9	widespread		accidental		terrestrial	North America	yes	yes	yes					1886					no	published	
46		147	harmonia	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread		a3	12	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	published	
47		21	harmonia	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread		a3	12	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	draft	
48		43	harmonia	Branta leucopsis						Anatidae				Barnacle goose	Brandgans	Bernache nonnette	spread		c	0	restricted				freshwater	Europe	yes	yes	no					1980					no	pending	
49		44	harmonia	Buddleja davidii						Buddlejaceae				Butterfly bush	Vlinderstruik	Arbre aux papillons	spread		b3	10	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1942					no	published	
50		120	harmonia	Cabomba caroliniana	Cabomba australis					Cabombaceae				Carolina fanwort	Waterwaaier	Cabomba			b0	10			aquariums and ponds		freshwater	South America	no												no	published	
51		126	harmonia	Callosciurus erythraeus						Sciuridae				Pallas's squirrel, Red-bellied tree squirrel	Pallas eekhoorn	Ecureuil à ventre rouge	naturalization		a1	11	isolated		pets and domestic animals		terrestrial	Asia	yes	yes	no					2005					yes	published	
52		127	harmonia	Callosciurus finlaysonii						Sciuridae				Finlayson's squirrel	Thaise eekhoorn	Ecureuil de finlayson			a0	11			pets and domestic animals		terrestrial	Asia	no												no	published	
53		45	harmonia	Campylopus introflexus										Campylopus moss					a3	1	widespread		accidental		terrestrial		yes	yes	yes					1966					no	pending	
54		2	harmonia	Carassius gibelio						Cyprinidae				Prussian carp	Giebel	Gibèle	spread		a3	12	widespread		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1750					no	published	
55		118	harmonia	Carpobrotus spp.	Carpobrotus edulis, C. acinaciformis					Aizoaceae				Hottentot fig	Hottentotvijg	Griffes de sorcières			a0	12			agri- and horticulture		terrestrial	Africa	no												yes	published	
56		123	harmonia	Castor canadensis						Castoridae				Canadian beaver	Canadese bever	Castor canadien	naturalization		b1	10	isolated		fur farming		freshwater	North America	yes	no	yes					2009					no	published	
57		124	harmonia	Cervus nippon						Cervidae				Sika deer	Sikahert	Cerf sika			a0	12			game/fish stocking		terrestrial	Asia	no												yes	published	
58		46	harmonia	Chloephaga picta						Anatidae				Magellan goose	Magelhaengans	Ouette de magellan	naturalization		c	1	isolated				freshwater	South America	yes	yes	no					1993					no	pending	
59		47	harmonia	Conyza canadensis						Asteraceae				Canadian horseweed	Canadese fijnstraal	Vergerette du canada	stabilization		b3	1	widespread				terrestrial	North America	yes	yes	yes					1822					no	pending	
60		48	harmonia	Coregonus spp.						Salmonidae				Whitefish		Corégone			c	1	isolated				freshwater	Europe	no	no	no					1979					no	pending	
61		106	harmonia	Cornus sericea	Swida sericea, C. alba, C. stolonifera					Cornaceae				Red-osier dogwood, red willow	Canadese kornoeilje	Cornouiller soyeux	spread		a2	11	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1885					no	published	
62		49	harmonia	Cotoneaster horizontalis						Malaceae				Rockspray	Vlakke dwergmispel	Cotonéaster horizontal	spread		a2	11	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1982					no	published	
63		50	harmonia	Crassula helmsii	Tillaea recurva, Crassula recurva					Crassulaceae				New zealand pigmyweed	Watercrassula	Crassule des étangs	spread		a1	12	isolated		aquariums and ponds		freshwater	Australia	yes	yes	yes					1982					yes	published	
64		153	harmonia	Crassula helmsii	Tillaea recurva, Crassula recurva					Crassulaceae				New zealand pigmyweed	Watercrassula	Crassule des étangs	spread		a1	12	isolated		aquariums and ponds		freshwater	Australia	yes	yes	yes					1982					yes	pending	
65		51	harmonia	Ctenopharyngodon idella						Cyprinidae				Grass carp	Graskarper	Carpe herbivore			c	1	isolated				freshwater	Asia	no	no	no					1978					no	pending	
66		52	harmonia	Cygnus atratus						Anatidae				Black swan	Zwarte zwaan	Cygne noir	naturalization		b1	10	isolated				freshwater	Australia	yes	yes	yes					1995					no	published	
67		115	harmonia	Cyperus eragrostis	Cyperus vegetus					Cyperaceae				Tall flatsedge, Pale galingale	Bleek cypergras	Souchet vigoureux	spread		b1	10	isolated		agri- and horticulture		terrestrial	South America	yes	yes						1896					no	published	
68		25	harmonia	Dama dama						Cervidae				Fallow deer	Damhert	Daim	naturalization		b1	10	isolated		game/fish stocking		terrestrial	Europe	yes	no	yes					1850					no	published	
69		107	harmonia	Duchesnea indica	Fragaria indica, Potentilla indica					Rosaceae				Indian strawberry	Schijnaardbei	Fraisier des Indes			b2	9	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1950					no	published	
70		53	harmonia	Echinocystis lobata	Echinocystis echinata					Cucurbitaceae				Wild cucumber	Egelkomkommer, Stekelaugurk	Concombre sauvage			b0	9			agri- and horticulture		terrestrial	North America	no												no	published	
71		54	harmonia	Egeria densa	Elodea densa					Hydrocharitaceae				Brazilian waterweed	Egeria	Egéria	spread		a1	12	isolated		aquariums and ponds		freshwater	South America	yes	yes						1999					yes	published	
72		122	harmonia	Elaeagnus angustifolia	Elaeagnus hortensis					Elaeagnaceae				Russian olive	Smalle olijfwilg	Olivier de bohême	spread		b1	10	isolated		agri- and horticulture		terrestrial	Asia, Europe	yes	yes						1939					no	published	
73		55	harmonia	Elodea callitrichoides						Hydrocharitaceae				South american waterweed		Elodée à feuilles allongées			a0	1			accidental		freshwater	South America	no	no	no										no	pending	
74		56	harmonia	Elodea canadensis	Anacharis canadensis					Hydrocharitaceae				Canadian waterweed	Canadese waterpest	Elodée du canada	regression		a3	12	widespread		aquariums and ponds		freshwater	North America	yes	yes	yes					1860					no	published	
75		57	harmonia	Elodea nuttallii						Hydrocharitaceae				Nuttall's waterweed	Smalle waterpest	Elodée de nuttall	spread		a3	12	widespread		aquariums and ponds		freshwater	North America	yes	yes	yes					1939					no	published	
76		8	harmonia	Epilobium ciliatum	Epilobium adenocaulon					Onagraceae				Northern willowherb	Beklierde basterdwederik	Epilobe cilié	spread		c	8	widespread		accidental		terrestrial	North America	yes	yes	yes										no	published	
77		9	harmonia	Fallopia japonica	Polygonum cuspidatum, Reynoutria japonica.					Polygonaceae				Japanese knotweed	Japanse duizendknoop	Renouée du japon	spread		a3	12	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1888					no	published	
78		144	harmonia	Fallopia sachalinensis	Reynoutria sachalinensis, Polygonum sachalinense					Polygonaceae				Giant knotweed	Sachalinse duizendknoop	Renouée de sakhaline	spread		a2	12	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1924					no	published	
79		58	harmonia	Fallopia sachalinensis						Polygonaceae				Giant knotweed	Sachalinse duizenknoop	Renouée de sakhaline	spread		a1	1	isolated				terrestrial	Asia	yes	yes	yes					1924					no	pending	
80		145	harmonia	Fallopia x bohemica						Polygonaceae				Hybrid knotweed		Renouée de bohème	spread		a2	12	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1924					no	published	
81		134	harmonia	Fraxinus pennsylvanica	Fraxinus pubescens					Oleaceae				Red ash, Green ash		Frêne rouge	spread		b1	9	isolated		agri- and horticulture		terrestrial	North America	yes	yes						2008					no	published	
82		59	harmonia	Gaillardia x grandiflora						Asteraceae				Blanket flower	Kokardebloem	Gaillarde	spread		c	8	restricted		agri- and horticulture		terrestrial	North America	yes	yes	no					1953					no	published	
83		102	harmonia	Harmonia axyridis						Coccinellidae				Harlequin ladybird	Veelkleurig aziatisch lieveheersbeestje	Coccinelle asiatique	spread		a3	11	widespread		biological control		terrestrial	Asia	yes	yes	yes					2000					no	published	
84		60	harmonia	Helianthus tuberosus	H. tuberosus x h. strumosus					Asteraceae				Jerusalem artichoke	Aardpeer	Topinambour	spread		a3	12	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1893					no	published	
85		10	harmonia	Heracleum mantegazzianum						Apiaceae				Giant hogweed	Reuzenbereklauw	Berce du caucase	spread		a3	11	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1938					no	published	
86		61	harmonia	Heracleum sosnowskyi						Apiaceae				Sosnowski's hogweed					a0	1					terrestrial	Asia	no												no	pending	
87		62	harmonia	Humulus japonicus						Canabaceae				Japanese hop					a0	1					freshwater, terrestrial	Asia	no												no	pending	
88		132	harmonia	Hyacinthoides hispanica	Hyacinthoides x massartiana					Liliaceae				Spanish bluebell	Spaanse hyacint	Scille d'espagne	spread		b2	9	restricted		agri- and horticulture		terrestrial	Europe	yes	yes	yes					1882					no	published	
89		63	harmonia	Hydrocotyle ranunculoides						Apiaceae				Water pennywort	Grote waternavel	Hydrocotyle fausse renoncule	spread		a2	12	restricted		aquariums and ponds		freshwater	North America	yes	yes	yes					1992					yes	published	
90		64	harmonia	Hypophthalmichthys molitrix						Cyprinidae				Silver carp	Zilverkarper	Carpe argentée			c	1	isolated				freshwater	Asia	no	no	no					1975					no	pending	
91		65	harmonia	Impatiens glandulifera						Balsaminaceae				Indian balsam	Reuzenbalsemien	Balsamine géante	spread		a3	12	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1939					no	published	
92		66	harmonia	Impatiens parviflora						Balsaminaceae				Small yellow balsam	Klein springzaad	Balsamine à petites fleurs	spread		b3	10	widespread		accidental		terrestrial	Asia	yes	yes	yes					1868					no	published	
93		67	harmonia	Juncus tenuis						Juncaceae				Slender rush	Tengere rus	Jonc grêle	stabilization		b3	1	widespread		accidental		terrestrial	North America	yes	yes	yes					1823					no	pending	
94		68	harmonia	Lagarosiphon major	Elodea crispa					Hydrocharitaceae				Curly waterweed	Verspreidbladige waterpest	Elodée à feuilles alternes	spread		a1	12	isolated		aquariums and ponds		freshwater	Africa	yes	yes	yes					1993					yes	published	
95		69	harmonia	Lemna minuta	Lemna minuscula					Lemnaceae				Minute duckweed	Dwergkroos	Lentille d'eau minuscule	spread		b3	10	widespread		aquariums and ponds		freshwater	North America	yes	yes	yes					1983					no	published	
96		70	harmonia	Lemna turionifera						Lemnaceae				Turion duckweed	Olijfgroen kroos	Lentille d'eau rouge	spread		b1	1	isolated		accidental		freshwater	Asia, North America	yes	yes						1992					no	pending	
97		3	harmonia	Lepomis gibbosus						Centrachidae				Pumpkinseed	Zonnebaars	Perche soleil	stabilization		b2	9	restricted		aquariums and ponds		freshwater	North America	yes	yes	yes					1884					no	published	
98		71	harmonia	Lindernia dubia						Scrophulariaceae				False pimpernel	Schijngenadekruid	Lindernie fausse-gratiole	naturalization		b1	1	isolated				freshwater, terrestrial	North America	yes	yes	no					1993					no	pending	
99		72	harmonia	Lonicera japonica						Caprifoliaceae				Japanese honeysuckle	Japanse kamperfoelie	Chèvrefeuille asiatique			b0	10			agri- and horticulture		terrestrial	Asia	no												no	published	
100		73	harmonia	Lophocolea semiteres										Southern crestwort					b2	1	restricted		accidental		terrestrial		yes												no	pending	
101		11	harmonia	Ludwigia grandiflora	L. hexapetala, L. uruguayensis					Onagraceae				Water primrose	Waterteunisbloem	Jussie à grandes fleurs	spread		a2	12	restricted		agri- and horticulture		freshwater	South America	yes	yes	yes					1983					yes	published	
102		12	harmonia	Ludwigia peploides						Onagraceae				Water primrose	Kleine waterteunisbloem	Jussie rampante	spread		a1	12	isolated		agri- and horticulture		freshwater	South America	yes		yes					1995					yes	published	
103		108	harmonia	Lupinus polyphyllus						Fabaceae				Garden lupin	Vaste lupine	Lupin vivace	spread		b2	10	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1882					no	published	
104		13	harmonia	Lysichiton americanus						Araceae				American skunk cabbage	Moerasaronskelk, Moeraslantaarn	Faux-arum, Lysichite	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	no	yes					2006					no	published	
105		74	harmonia	Mahonia aquifolium	Berberis aquifolium					Berberidaceae				Oregon grape	Mahonia	Mahonia faux-houx	spread		a2	12	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1906					no	published	
106		75	harmonia	Micropterus salmoides						Centrachidae				Largemouth bass	Forelbaars	Black-bass à grande bouche			b1	1	isolated				freshwater	North America	no	no	no					1880					no	pending	
107		116	harmonia	Mimulus guttatus						Scrophulariaceae				Monkeyflower	Gele maskerbloem	Mimule tacheté	naturalization		b2	10	restricted		agri- and horticulture		freshwater, terrestrial	North America	yes	yes	yes					1953					no	published	
108		125	harmonia	Muntiacus reevesi						Cervidae				Reeves' muntjac	Chinese muntjak	Muntjac			a0	12			pets and domestic animals		terrestrial	Asia	no												yes	published	
109		26	harmonia	Mustela vison	Neovison vison					Mustelidae				American mink	Amerikaanse nerts	Vison d'amérique			a0	11			fur farming		freshwater, terrestrial	North America	no												yes	published	
110		27	harmonia	Myocastor coypus						Echimyidae				Coypu, Nutria	Beverrat	Ragondin	spread		a1	12	isolated		fur farming		freshwater	South America	yes	yes	yes					1975					yes	published	
111		76	harmonia	Myriophyllum aquaticum	Myriophyllum brasiliense					Haloragaceae				Parrotfeather	Parelvederkruid	Myriophylle du brésil	spread		a2	12	restricted		aquariums and ponds		freshwater	South America	yes	yes	yes					1983					yes	published	
112		117	harmonia	Myriophyllum heterophyllum						Haloragaceae				Variable watermilfoil	Ongelijkbladig vederkruid	Myriophylle hétérophylle	spread		a1	12	isolated		aquariums and ponds		freshwater	North America	yes	yes	yes					1993					yes	published	
113		152	harmonia	Neogobius melanostomus	Apollonia melanostomus					Gobiidae				Round goby	Zwartbekgrondel	Gobie à taches noires			a2	12	restricted		accidental		freshwater, brackish	Asia, Europe	yes	yes	yes					2012					yes	published	
114		78	harmonia	Nyctereutes procyonoides						Canidae				Raccoon dog	Wasbeerhond	Chien viverrin	naturalization		b1	9	isolated				terrestrial	Asia	yes		yes					2010					yes	published	
115		114	harmonia	Oenothera spp.	O. biennis, O. deflexa, O. glazioviana.					Onagraceae				Evening primrose	Teunisbloem	Onagre	spread		c	7	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1792					no	published	
116		79	harmonia	Oncorhynchus mykiss						Salmonidae				Rainbow trout	Regenboogforel	Truite arc-en-ciel			b2	1	restricted				freshwater	North America	no	no	no					1884					no	pending	
117		28	harmonia	Ondatra zibethicus						Muridae				Muskrat	Muskusrat	Rat musqué	spread		a3	12	widespread		fur farming		freshwater	North America	yes	yes	yes					1928					no	published	
118		80	harmonia	Orthodontium lineare						Orthodontiaceae				Cape thread-moss	Geelsteeltje				b2	1	restricted				terrestrial		yes							1945					no	pending	
119		81	harmonia	Ovis ammon						Bovidae				Mouflon		Mouflon	naturalization		c	1	isolated				terrestrial	Europe	yes	no	yes					1938					no	pending	
120		22	harmonia	Oxyura jamaicensis						Anatidae				Ruddy duck	Rosse stekelstaart	Erismature rousse			b0	10			pets and domestic animals		freshwater	North America	no												yes	published	
121		133	harmonia	Parthenocissus spp.	P. inserta, P. quinquefolia, P. vitacea					Vitaceae				(false) virginia creeper	(valse) wingerd	Vigne vierge	spread		b3	10	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1880					no	published	
122		89	harmonia	Pelophylax ridibundus	Rana ridibunda					Ranidae				Marsh frog	Meerkikker, Grote groene kikker	Grenouille rieuse	spread		a2	11	restricted		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1975					no	published	
123		82	harmonia	Perccottus glenii	Perccottus glehni					Odontobutidae				Rotan, Amur sleeper	Amurgrondel	Goujon de l'amour			a0	11			accidental, aquariums and ponds, game/fish stocking		freshwater, brackish	Asia	no												yes	published	
124		85	harmonia	Persicaria wallichii	Polygonum polystachyum					Polygonaceae				Himalayan knotweed	Afgaanse duizendknoop	Renouée de l'himalaya	naturalization		b2	10	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1898					no	published	
125		111	harmonia	Phytolacca americana	Phytolacca decandra					Phytolaccaceae				American pokeweed	Westerse karmozijnbes	Raisin d'Amérique			b0	9			agri- and horticulture		terrestrial	North America	no												no	published	
126		4	harmonia	Pimephales promelas						Cyprinidae				Fathead minnow	Dikkopelrits	Vairon américain	spread		b2	9	restricted		game/fish stocking		freshwater	North America	yes	yes	yes					1986					no	published	
127		83	harmonia	Pinus nigra nigra						Pinaceae				Austrina pine	Oostenrijkse den	Pin noir d'autriche			b2	1	restricted				terrestrial	Europe	yes	yes	yes										no	pending	
128		84	harmonia	Polemonium caeruleum						Polemoniaceae				Jacob's ladder	Jakobsladder	Polémoine	spread		b1	1	isolated				terrestrial	Asia, Europe	yes	no	yes					1864					no	pending	
129		150	harmonia	Procambarus clarkii										Red swamp crayfish	Rode rivierkreeft	Ecrevisse de louisiane	naturalization		c	6	isolated		aqua- and mariculture		freshwater	North America	yes	yes											yes	pending	
130		29	harmonia	Procyon lotor						Procyonidae				Raccoon	Wasbeer	Raton laveur	spread		a2	11	restricted		fur farming, game/fish stocking		terrestrial	North America	yes	no	yes					1986					no	published	
131		112	harmonia	Prunus laurocerasus	Lauroceraus officinalis					Rosaceae				Cherry laurel	Kerslaurier	Laurier cerise	naturalization		b1	9	isolated		agri- and horticulture		terrestrial	Asia	yes		yes					1994					no	published	
132		14	harmonia	Prunus serotina	Padus serotina					Amygdalaceae				Black cherry	Amerikaanse vogelkers	Cerisier tardif	spread		a3	12	widespread		forestry		terrestrial	North America	yes	yes	yes					1890					no	published	
133		5	harmonia	Pseudorasbora parva						Cyprinidae				Stone moroko, Topmouth gudgeon	Blauwband(-grondel)	Goujon asiatique	spread		a2	11	restricted		game/fish stocking		freshwater	Asia	yes	yes	yes					1989					no	published	
134		86	harmonia	Pseudotsuga menziesii						Pinaceae				Douglas fir	Douglasspar	Douglas			b1	1	isolated				terrestrial	North America	yes		yes										no	pending	
135		23	harmonia	Psittacula krameri						Psittacidae				Ring-necked parakeet	Halsbandparkiet	Perruche à collier	spread		b2	9	restricted		pets and domestic animals		terrestrial	Africa, Asia	yes	yes	yes					1966					no	published	
136		87	harmonia	Quercus rubra	Quercus borealis					Fagaceae				Red oak	Amerikaanse eik	Chêne rouge	spread		b3	10	widespread		agri- and horticulture, forestry		terrestrial	North America	yes	yes	yes					1950					no	published	
137		88	harmonia	Rana catesbeiana	Lithobates catesbeianus					Ranidae				American bullfrog	Stierkikker	Grenouille taureau	spread		a1	12	isolated		aquariums and ponds		freshwater	North America	yes	yes	yes					1996					yes	published	
138		90	harmonia	Rattus norvegicus						Muridae				Brown rat	Bruine rat	Rat surmulot	stabilization		a3	11	widespread		accidental		freshwater	Asia	yes	yes	yes					1730					no	published	
139		91	harmonia	Rhododendron ponticum						Ericaceae				Rhododendron	Pontische rododendron	Rhododendron	spread		a2	11	restricted		agri- and horticulture		terrestrial	Asia, Europe	yes	yes	yes					1920					no	published	
140		113	harmonia	Rhus typhina	Rhus hirta					Anacardiaceae				Staghorn sumac	Fluweelboom	Sumac	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1898					no	published	
141		15	harmonia	Robinia pseudoacacia						Fabaceae				Black locust	Gewone robinia	Robinier faux-acacia			b3	10	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1856					no	published	
142		92	harmonia	Rosa rugosa						Rosaceae				Rugosa rose	Rimpelroos	Rosier rugueux	spread		a3	12	widespread		agri- and horticulture		terrestrial	Asia	yes	yes						1934					no	published	
143		93	harmonia	Rudbeckia laciniata						Asteraceae				Cutleaf coneflower	Slipbladige rudbeckia	Rudbéckie laciniée	stabilization		b1	10	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1849					no	published	
144		94	harmonia	Salvelinus fontinalis						Salmonidae				Brook trout	Bronforel	Omble de fontaine, saumon de fontaine			b1	1	isolated				freshwater	North America	no	no	no					1884					no	pending	
145		6	harmonia	Sander lucioperca	Stizostedion lucioperca					Percidae				Zander, Pike-perch	Snoekbaars	Sandre	spread		b3	9	widespread		game/fish stocking		freshwater	Europe	yes	yes	yes					1890					no	published	
146		30	harmonia	Sciurus carolinensis						Sciuridae				Grey squirrel	Grijze eekhoorn	Ecureuil gris			a0	11			pets and domestic animals		terrestrial	North America	no												yes	published	
147		149	harmonia	Sciurus niger										Fox squirrel	Zwarte eekhoorn	Ecureuil fauve			c	5							no												yes	pending	
